name,<=25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71-200
数理科学部,0,5,25,72,35,16,17,5,0,0,0
化学科学部,0,7,66,71,46,21,20,3,1,0,0
生命科学部,0,28,136,235,145,101,70,19,5,0,0
地球科学部,0,8,33,67,30,20,19,2,0,0,0
工程与材料科学部,0,3,57,127,75,36,30,15,1,0,0
信息科学部,0,3,31,83,55,23,27,3,0,0,0
管理科学部,0,6,28,42,36,22,9,1,1,0,0
医学科学部,0,35,110,240,224,139,103,37,7,0,0
