name,<=25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71-200
数理科学部,0,19,368,568,302,182,200,70,28,5,1
化学科学部,0,10,289,583,365,203,208,57,19,2,1
生命科学部,0,17,464,907,607,449,394,169,37,1,3
地球科学部,0,19,429,612,316,192,212,89,23,1,2
工程与材料科学部,0,26,553,986,587,424,395,165,56,3,4
信息科学部,0,19,410,688,394,197,190,73,29,4,3
管理科学部,0,4,131,243,177,107,89,34,14,0,4
医学科学部,0,28,481,1033,926,705,871,341,110,18,2
